Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.ÂµL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2811-83431,CHR,,kid,CHR-078,809,,78,blood,809,97.342,CO 2022 Field Box 7,,,CO-83431,809,78,1,CHR_78_1
Y,2022,2850-57656,CHR,F,mom,CHR-078,675,,78,blood,675,39.875,CO 2022 Field Box 5,,,CO-57656,675,NA,NA,NA
Y,2022,2850-57744,CHR,M,dad,CHR-078,404,,78,blood,404,39.347,Colorado Field Blood 2022 Box 1,,,CO-57744,404,NA,NA,NA
Y,2022,2811-83118,CHR,,kid,CHR-080,493,,80,blood,493,33.052,CO 2022 Field Box 3,,,CO-83118,493,80,1,CHR_80_1
Y,2022,2811-83119,CHR,,kid,CHR-080,494,,80,blood,494,56.859,CO 2022 Field Box 3,,,CO-83119,494,80,1,CHR_80_1
Y,2022,2811-83120,CHR,,kid,CHR-080,495,,80,blood,495,222.461,CO 2022 Field Box 3,,,CO-83120,495,80,1,CHR_80_1
Y,2022,2811-83121,CHR,,kid,CHR-080,496,,80,blood,496,60.704,CO 2022 Field Box 3,,,CO-83121,496,80,1,CHR_80_1
Y,2022,2850-57580,CHR,M,dad,CHR-080,340,,80,blood,340,29.903,Colorado Field Blood 2022 Box 1,,,CO-57580,340,NA,NA,NA
N,2022,2850-57654,CHR,F,mom,CHR-080,881,,80,blood,415,17.376,CO 2022 Field Box 1,,,CO-57654,881,NA,NA,NA
Y,2022,2850-57745,CHR,M,dad,CHR-082,405,,#N/A,blood,405,34.067,Colorado Field Blood 2022 Box 1,,,CO-57745,405,NA,NA,NA
N,2022,2811-82969,CHR,M,dad,CHR-085,116,,#N/A,blood,363,29.775,Colorado Field Blood 2022 Box 1,,,CO-82969,116,NA,NA,NA
Y,2022,2640-97588,CHR,M,dad,CHR-093,384,,93,blood,384,19.904,Colorado Field Blood 2022 Box 1,,,CO-97588,384,NA,NA,NA
Y,2022,2811-83074,CHR,,kid,CHR-093,472,,93,blood,472,186.782,CO 2022 Field Box 2,,,CO-83074,472,93,1,CHR_93_1
Y,2022,2811-83075,CHR,,kid,CHR-093,473,,93,blood,473,76.048,CO 2022 Field Box 2,,,CO-83075,473,93,1,CHR_93_1
Y,2022,2811-83076,CHR,,kid,CHR-093,474,,93,blood,474,593.305,CO 2022 Field Box 2,,,CO-83076,474,93,1,CHR_93_1
Y,2022,2811-83077,CHR,,kid,CHR-093,475,,93,blood,475,428.014,CO 2022 Field Box 2,,,CO-83077,475,93,1,CHR_93_1
Y,2022,2811-83078,CHR,,kid,CHR-093,476,,93,blood,476,43.183,CO 2022 Field Box 2,,,CO-83078,476,93,1,CHR_93_1
Y,2022,2850-57730,CHR,F,mom,CHR-093,438,,93,blood,438,38.818,CO 2022 Field Box 2,,,CO-57730,438,NA,NA,NA
Y,2022,2881-34071,CHR,,kid,CHR-093,778,,93,blood,778,73.319,CO 2022 Field Box 6,,,CO-34071,778,93,2,CHR_93_2
Y,2022,2881-34072,CHR,,kid,CHR-093,779,,93,blood,779,83.154,CO 2022 Field Box 6,,,CO-34072,779,93,2,CHR_93_2
Y,2022,2881-34073,CHR,,kid,CHR-093,780,,93,blood,780,81.903,CO 2022 Field Box 6,,,CO-34073,780,93,2,CHR_93_2
Y,2022,2881-34074,CHR,,kid,CHR-093,781,,93,blood,781,69.356,CO 2022 Field Box 6,,,CO-34074,781,93,2,CHR_93_2
Y,2022,2811-83301,CHR,,kid,CHR-096,650,,96,blood,650,55.883,CO 2022 Field Box 5,,,CO-83301,650,96,1,CHR_96_1
Y,2022,2811-83302,CHR,,kid,CHR-096,651,,96,blood,651,105.466,CO 2022 Field Box 5,,,CO-83302,651,96,1,CHR_96_1
Y,2022,2811-83304,CHR,,kid,CHR-096,652,,96,blood,652,198.587,CO 2022 Field Box 5,,,CO-83304,652,96,1,CHR_96_1
Y,2022,2811-83320,CHR,,kid,CHR-096,653,,96.2,blood,653,61.66,CO 2022 Field Box 5,,,CO-83320,653,96,2,CHR_96_2
Y,2022,2811-83321,CHR,,kid,CHR-096,654,,96.2,blood,654,179.413,CO 2022 Field Box 5,,,CO-83321,654,96,2,CHR_96_2
Y,2022,2811-83322,CHR,,kid,CHR-096,655,,96.2,blood,655,65.121,CO 2022 Field Box 5,,,CO-83322,655,96,2,CHR_96_2
Y,2022,2850-57568,CHR,F,mom,CHR-096,670,,96.2,blood,670,80.046,CO 2022 Field Box 5,,,CO-57568,670,NA,NA,NA
,2022,2850-57806,CHR,M,dad,CHR-096,420,,,,,NA,,,,CO-57806,420,NA,NA,NA
Y,2022,T001,CHR,,kid,CHR-096,T001,,96,tissue,T001,593.258,2.044,,,CO-T001,T001,96,1,CHR_96_1
N,2022,2850-57583,CHR,F,mom,CHR-097,877,,97,blood,391,15.691,Colorado Field Blood 2022 Box 1,,,CO-57583,877,NA,NA,NA
Y,2022,2850-57589,CHR,M,dad,CHR-097,344,,97,blood,344,20.075,Colorado Field Blood 2022 Box 1,,,CO-57589,344,NA,NA,NA
Y,2022,2881-33681,CHR,,kid,CHR-097,745,,19,blood,745,198.425,CO 2022 Field Box 6,,,CO-33681,745,19,2,CHR_19_2
Y,2022,2881-33682,CHR,,kid,CHR-097,746,,19,blood,746,240.418,CO 2022 Field Box 6,,,CO-33682,746,19,2,CHR_19_2
Y,2022,2881-33683,CHR,,kid,CHR-097,747,,19,blood,747,208.866,CO 2022 Field Box 6,,,CO-33683,747,19,2,CHR_19_2
Y,2022,2881-34017,CHR,,kid,CHR-097,581,,97,blood,581,97.93,CO 2022 Field Box 4,,,CO-34017,581,97,1,CHR_97_1
Y,2022,2881-34018,CHR,,kid,CHR-097,582,,97,blood,582,107.859,CO 2022 Field Box 4,,,CO-34018,582,97,1,CHR_97_1
Y,2022,2881-34019,CHR,,kid,CHR-097,583,,97,blood,583,95.149,CO 2022 Field Box 4,,,CO-34019,583,97,1,CHR_97_1
Y,2022,2881-34020,CHR,,kid,CHR-097,584,,97,blood,584,140.826,CO 2022 Field Box 4,,,CO-34020,584,97,1,CHR_97_1
Y,2022,T003,CHR,,kid,CHR-097,T003,,19,tissue,T003,289.996,2.029,,,CO-T003,T003,19,2,CHR_19_2
N,2022,2811-83306,CHR,,kid,CHR-099,872,,99,blood,523,15.248,CO 2022 Field Box 3,,,CO-83306,872,99,1,CHR_99_1
N,2022,2811-83307,CHR,,kid,CHR-099,829,,99,blood,524,6.781,CO 2022 Field Box 3,,,CO-83307,829,99,1,CHR_99_1
N,2022,2811-83308,CHR,,kid,CHR-099,830,,99,blood,525,7.868,CO 2022 Field Box 3,,,CO-83308,830,99,1,CHR_99_1
N,2022,2811-83309,CHR,,kid,CHR-099,831,,99,blood,526,3.584,CO 2022 Field Box 3,,,CO-83309,831,99,1,CHR_99_1
Y,2022,2811-83439,CHR,,kid,CHR-099,810,,99,blood,810,86.709,CO 2022 Field Box 7,,,CO-83439,810,99,2,CHR_99_2
Y,2022,2811-83440,CHR,,kid,CHR-099,811,,99,blood,811,73.006,CO 2022 Field Box 7,,,CO-83440,811,99,2,CHR_99_2
Y,2022,2811-83441,CHR,,kid,CHR-099,812,,99,blood,812,99.291,CO 2022 Field Box 7,,,CO-83441,812,99,2,CHR_99_2
Y,2022,2811-83442,CHR,,kid,CHR-099,813,,99,blood,813,59.243,CO 2022 Field Box 7,,,CO-83442,813,99,2,CHR_99_2
Y,2022,2850-57578,CHR,M,dad,CHR-099,338,,99,blood,338,24.254,Colorado Field Blood 2022 Box 1,,,CO-57578,338,NA,NA,NA
N,2022,2850-57883,CHR,F,mom,CHR-099,862,,99,blood,447,10.014,CO 2022 Field Box 2,,,CO-57883,862,NA,NA,NA
N,2022,2640-97589,CHR,M,dad,CHR-102,864,,102,blood,361,17.669,Colorado Field Blood 2022 Box 1,,,CO-97589,864,NA,NA,NA
Y,2022,2811-38984,CHR,F,mom,CHR-102,385,,102,blood,385,44.04,Colorado Field Blood 2022 Box 1,,,CO-38984,385,NA,NA,NA
Y,2022,2811-83081,CHR,,kid,CHR-102,479,,102,blood,479,47.568,CO 2022 Field Box 2,,,CO-83081,479,102,1,CHR_102_1
Y,2022,2811-83082,CHR,,kid,CHR-102,480,,102,blood,480,94.834,CO 2022 Field Box 2,,,CO-83082,480,102,1,CHR_102_1
Y,2022,2811-83083,CHR,,kid,CHR-102,481,,102,blood,481,98.453,CO 2022 Field Box 2,,,CO-83083,481,102,1,CHR_102_1
Y,2022,2881-34075,CHR,,kid,CHR-102,782,,102.2,blood,782,92.124,CO 2022 Field Box 6,,,CO-34075,782,102.2,2,CHR_102.2_2
Y,2022,2881-34076,CHR,,kid,CHR-102,783,,102.2,blood,783,78.181,CO 2022 Field Box 6,,,CO-34076,783,102.2,2,CHR_102.2_2
Y,2022,2881-34077,CHR,,kid,CHR-102,784,,102.2,blood,784,82.976,CO 2022 Field Box 6,,,CO-34077,784,102.2,2,CHR_102.2_2
Y,2022,2881-34078,CHR,,kid,CHR-102,785,,102.2,blood,785,123.204,CO 2022 Field Box 6,,,CO-34078,785,102.2,2,CHR_102.2_2
Y,2022,2811-83228,CHR,,kid,CHR-110,504,,110,blood,504,23.708,CO 2022 Field Box 3,,,CO-83228,504,110,1,CHR_110_1
Y,2022,2811-83229,CHR,,kid,CHR-110,505,,110,blood,505,31.997,CO 2022 Field Box 3,,,CO-83229,505,110,1,CHR_110_1
N,2022,2811-83230,CHR,,kid,CHR-110,817,,110,blood,506,13.149,CO 2022 Field Box 3,,,CO-83230,817,110,1,CHR_110_1
N,2022,2811-83231,CHR,,kid,CHR-110,870,,110,blood,507,16.452,CO 2022 Field Box 3,,,CO-83231,870,110,1,CHR_110_1
Y,2022,2850-57742,CHR,M,dad,CHR-110,402,,110,blood,402,44.605,Colorado Field Blood 2022 Box 1,,,CO-57742,402,NA,NA,NA
Y,2022,2850-57846,CHR,F,mom,CHR-110,442,,110,blood,442,30.466,CO 2022 Field Box 2,,,CO-57846,442,NA,NA,NA
Y,2022,2881-34091,CHR,,kid,CHR-110,792,,52,blood,792,67.954,CO 2022 Field Box 6,,,CO-34091,792,52,2,CHR_52_2
Y,2022,2881-34093,CHR,,kid,CHR-110,793,,52,blood,793,34.324,CO 2022 Field Box 6,,,CO-34093,793,52,2,CHR_52_2
N,2022,2811-83300,CHR,,kid,CHR-112,828,,112,blood,521,5.686,CO 2022 Field Box 3,,,CO-83300,828,112,1,CHR_112_1
N,2022,2811-83413,CHR,,kid,CHR-112,835,,112,blood,537,10.014,CO 2022 Field Box 3,,,CO-83413,835,112,1,CHR_112_1
Y,2022,2811-83414,CHR,,kid,CHR-112,538,,112,blood,538,46.595,CO 2022 Field Box 3,,,CO-83414,538,112,1,CHR_112_1
Y,2022,2811-83415,CHR,,kid,CHR-112,539,,112,blood,539,42.203,CO 2022 Field Box 3,,,CO-83415,539,112,1,CHR_112_1
Y,2022,2811-83443,CHR,,kid,CHR-112,662,,112.2,blood,662,84.853,CO 2022 Field Box 5,,,CO-83443,662,112.2,2,CHR_112.2_2
Y,2022,2811-83444,CHR,,kid,CHR-112,663,,112.2,blood,663,318.369,CO 2022 Field Box 5,,,CO-83444,663,112.2,2,CHR_112.2_2
Y,2022,2811-83445,CHR,,kid,CHR-112,664,,112.2,blood,664,229.703,CO 2022 Field Box 5,,,CO-83445,664,112.2,2,CHR_112.2_2
Y,2022,2811-83446,CHR,,kid,CHR-112,665,,112.2,blood,665,173.125,CO 2022 Field Box 5,,,CO-83446,665,112.2,2,CHR_112.2_2
Y,2022,2850-57647,CHR,M,dad,CHR-112,371,,112,blood,371,25.483,Colorado Field Blood 2022 Box 1,,,CO-57647,371,NA,NA,NA
Y,2022,2850-57879,CHR,F,mom,CHR-112,445,,112,blood,445,20.394,CO 2022 Field Box 2,,,CO-57879,445,NA,NA,NA
Y,2022,2811-83316,CHR,,kid,CHR-128,529,,128,blood,529,21.449,CO 2022 Field Box 3,,,CO-83316,529,128,1,CHR_128_1
N,2022,2811-83317,CHR,,kid,CHR-128,832,,128,blood,530,6.752,CO 2022 Field Box 3,,,CO-83317,832,128,1,CHR_128_1
N,2022,2811-83318,CHR,,kid,CHR-128,833,,128,blood,531,3.577,CO 2022 Field Box 3,,,CO-83318,833,128,1,CHR_128_1
N,2022,2811-83319,CHR,,kid,CHR-128,815,,128,blood,532,0.359,CO 2022 Field Box 3,,,CO-83319,815,128,1,CHR_128_1
Y,2022,2811-83465,CHR,,kid,CHR-128,666,,150,blood,666,109.793,CO 2022 Field Box 5,,,CO-83465,666,150,2,CHR_150_2
N,2022,2850-57577,CHR,M,dad,CHR-128,875,,128,blood,337,16.614,Colorado Field Blood 2022 Box 1,,,CO-57577,875,NA,NA,NA
Y,2022,2870-65003,CHR,F,mom,CHR-128,421,,128,blood,421,48.875,CO 2022 Field Box 2,,,CO-65003,421,NA,NA,NA
Y,2022,2811-83432,CHR,,kid,CHR-133,609,,133,blood,609,53.969,CO 2022 Field Box 4,,,CO-83432,609,133,1,CHR_133_1
Y,2022,2811-83466,CHR,,kid,CHR-133,667,,151,blood,667,117.36,CO 2022 Field Box 5,,,CO-83466,667,151,2,CHR_151_2
Y,2022,2811-83467,CHR,,kid,CHR-133,668,,151,blood,668,107.386,CO 2022 Field Box 5,,,CO-83467,668,151,2,CHR_151_2
Y,2022,2811-83468,CHR,,kid,CHR-133,669,,151,blood,669,114.314,CO 2022 Field Box 5,,,CO-83468,669,151,2,CHR_151_2
Y,2022,2850-57570,CHR,M,dad,CHR-133,369,,133,blood,369,42.65,Colorado Field Blood 2022 Box 1,,,CO-57570,369,NA,NA,NA
N,2022,2850-57648,CHR,F,mom,CHR-133,851,,133,blood,394,11.559,Colorado Field Blood 2022 Box 1,,,CO-57648,851,NA,NA,NA
Y,2022,2850-57880,CHR,M,dad,CHR-139,446,,#N/A,blood,446,24.876,CO 2022 Field Box 2,,,CO-57880,446,NA,NA,NA
Y,2022,2870-64909,CHR,F,mom,CHR-148,684,,148,blood,684,143.706,CO 2022 Field Box 5,,,CO-64909,684,NA,NA,NA
Y,2022,2881-33696,CHR,,kid,CHR-148,748,,148,blood,748,94.331,CO 2022 Field Box 6,,,CO-33696,748,148,2,CHR_148_2
Y,2022,2881-33697,CHR,,kid,CHR-148,749,,148,blood,749,104.436,CO 2022 Field Box 6,,,CO-33697,749,148,2,CHR_148_2
Y,2022,2881-33698,CHR,,kid,CHR-148,750,,148,blood,750,120.38,CO 2022 Field Box 6,,,CO-33698,750,148,2,CHR_148_2
Y,2022,2881-33699,CHR,,kid,CHR-148,751,,148,blood,751,158.031,CO 2022 Field Box 6,,,CO-33699,751,148,2,CHR_148_2
Y,2022,2850-57582,CHR,M,dad,CHR-148,342,,,blood,342,26.442,Colorado Field Blood 2022 Box 1,,,CO-57582,342,NA,NA,NA
Y,2022,2850-57586,CHR,F,mom,CHR-149,672,,149,blood,672,120.301,CO 2022 Field Box 5,,,CO-57586,672,NA,NA,NA
Y,2022,2850-57669,CHR,M,dad,CHR-149,379,,#N/A,blood,379,32.713,Colorado Field Blood 2022 Box 1,,,CO-57669,379,NA,NA,NA
Y,2022,2811-83240,Cooks,,kid,Cooks-02,594,,2,blood,594,54.94,CO 2022 Field Box 4,,,CO-83240,594,2,1,Cook's_2_1
N,2022,2850-57633,Cooks,M,dad,Cooks-02,847,,2,blood,431,12.16,CO 2022 Field Box 2,,,CO-57633,847,NA,NA,NA
N,2022,2850-57637,Cooks,F,mom,Cooks-02,848,,2,blood,392,14.722,Colorado Field Blood 2022 Box 1,,,CO-57637,848,NA,NA,NA
Y,2022,2850-57574,Cooks,M,dad,Cooks-04,336,,4,blood,336,23.089,Colorado Field Blood 2022 Box 1,,,CO-57574,336,NA,NA,NA
Y,2022,2850-57575,Cooks,F,mom,Cooks-04,389,,4,blood,389,31.716,Colorado Field Blood 2022 Box 1,,,CO-57575,389,NA,NA,NA
Y,2022,2881-34025,Cooks,,kid,Cooks-04,588,,4,blood,588,114.096,CO 2022 Field Box 4,,,CO-34025,588,4,1,Cook's_4_1
Y,2022,2881-34026,Cooks,,kid,Cooks-04,589,,4,blood,589,59.154,CO 2022 Field Box 4,,,CO-34026,589,4,1,Cook's_4_1
Y,2022,2881-34027,Cooks,,kid,Cooks-04,590,,4,blood,590,56.062,CO 2022 Field Box 4,,,CO-34027,590,4,1,Cook's_4_1
Y,2022,2881-34028,Cooks,,kid,Cooks-04,591,,4,blood,591,51.882,CO 2022 Field Box 4,,,CO-34028,591,4,1,Cook's_4_1
Y,2022,2850-57557,Cooks,M,dad,Cooks-06,366,,6,blood,366,42.468,Colorado Field Blood 2022 Box 1,,,CO-57557,366,NA,NA,NA
Y,2022,2850-57609,Cooks,F,mom,Cooks-06,428,,6,blood,428,63.526,CO 2022 Field Box 2,,,CO-57609,428,NA,NA,NA
Y,2022,2881-34005,Cooks,,kid,Cooks-06,450,,6,blood,450,35.613,CO 2022 Field Box 2,,,CO-34005,450,6,1,Cook's_6_1
Y,2022,2881-34006,Cooks,,kid,Cooks-06,571,,6,blood,571,84.488,CO 2022 Field Box 4,,,CO-34006,571,6,1,Cook's_6_1
Y,2022,2881-34007,Cooks,,kid,Cooks-06,572,,6,blood,572,54.989,CO 2022 Field Box 4,,,CO-34007,572,6,1,Cook's_6_1
Y,2022,2881-34008,Cooks,,kid,Cooks-06,573,,6,blood,573,86.476,CO 2022 Field Box 4,,,CO-34008,573,6,1,Cook's_6_1
Y,2022,2881-34009,Cooks,,kid,Cooks-06,574,,6,blood,574,87.687,CO 2022 Field Box 4,,,CO-34009,574,6,1,Cook's_6_1
N,2022,2850-57657,CHR,M,dad,none,852,,,blood,373,11.34,Colorado Field Blood 2022 Box 1,,,CO-57657,852,NA,NA,NA
Y,2022,2850-57675,Cooks,M,dad,Cooks-13,884,,,,884,22.784,CO 2022 Field Box 8,,,CO-57675,884,NA,NA,NA
Y,2022,2850-57749,Cooks,F,mom,Cooks-13,681,,13,blood,681,87.374,CO 2022 Field Box 5,,,CO-57749,681,NA,NA,NA
Y,2022,2881-34060,Cooks,,kid,Cooks-13,774,,13,blood,774,280.739,CO 2022 Field Box 6,,,CO-34060,774,13,1,Cook's_13_1
Y,2022,2881-34061,Cooks,,kid,Cooks-13,775,,13,blood,775,81.553,CO 2022 Field Box 6,,,CO-34061,775,13,1,Cook's_13_1
Y,2022,2881-34062,Cooks,,kid,Cooks-13,776,,13,blood,776,179.078,CO 2022 Field Box 6,,,CO-34062,776,13,1,Cook's_13_1
Y,2022,2881-34063,Cooks,,kid,Cooks-13,777,,13,blood,777,95.646,CO 2022 Field Box 6,,,CO-34063,777,13,1,Cook's_13_1
N,2022,2850-57672,Cooks,F,mom,Cooks-17,883,,17,blood,401,16.791,Colorado Field Blood 2022 Box 1,,,CO-57672,883,NA,NA,NA
Y,2022,2850-57673,Cooks,M,dad,Cooks-17,381,,17,blood,381,40.504,Colorado Field Blood 2022 Box 1,,,CO-57673,381,NA,NA,NA
Y,2022,2881-34033,Cooks,,kid,Cooks-17,635,,17,blood,635,127.226,CO 2022 Field Box 4,,,CO-34033,635,17,1,Cook's_17_1
Y,2022,2881-34034,Cooks,,kid,Cooks-17,636,,17,blood,636,109.663,CO 2022 Field Box 4,,,CO-34034,636,17,1,Cook's_17_1
Y,2022,2881-34035,Cooks,,kid,Cooks-17,637,,17,blood,637,144.629,CO 2022 Field Box 4,,,CO-34035,637,17,1,Cook's_17_1
Y,2022,2881-34036,Cooks,,kid,Cooks-17,638,,17,blood,638,88.072,CO 2022 Field Box 4,,,CO-34036,638,17,1,Cook's_17_1
Y,2022,2811-83130,Cooks,,kid,Cooks-27,640,,27,blood,640,132.064,CO 2022 Field Box 4,,,CO-83130,640,27,1,Cook's_27_1
Y,2022,2811-83131,Cooks,,kid,Cooks-27,641,,27,blood,641,132.785,CO 2022 Field Box 4,,,CO-83131,641,27,1,Cook's_27_1
Y,2022,2811-83132,Cooks,,kid,Cooks-27,642,,27,blood,642,99.244,CO 2022 Field Box 4,,,CO-83132,642,27,1,Cook's_27_1
Y,2022,2850-57664,Cooks,F,mom,Cooks-27,676,,27,blood,676,104.167,CO 2022 Field Box 5,,,CO-57664,676,NA,NA,NA
Y,2022,2850-57676,Cooks,M,dad,Cooks-27,432,,27,blood,432,25.832,CO 2022 Field Box 2,,,CO-57676,432,NA,NA,NA
Y,2022,2811-83069,Cooks,,kid,Cooks-29,467,,29,blood,467,26.109,CO 2022 Field Box 2,,,CO-83069,467,29,1,Cook's_29_1
Y,2022,2811-83070,Cooks,,kid,Cooks-29,468,,29,blood,468,37.509,CO 2022 Field Box 2,,,CO-83070,468,29,1,Cook's_29_1
Y,2022,2811-83071,Cooks,,kid,Cooks-29,469,,29,blood,469,47.82,CO 2022 Field Box 2,,,CO-83071,469,29,1,Cook's_29_1
Y,2022,2811-83072,Cooks,,kid,Cooks-29,470,,29,blood,470,193.319,CO 2022 Field Box 2,,,CO-83072,470,29,1,Cook's_29_1
N,2022,2811-83073,Cooks,,kid,Cooks-29,866,,29,blood,471,16.452,CO 2022 Field Box 2,,,CO-83073,866,29,1,Cook's_29_1
Y,2022,2850-57638,Cooks,M,dad,Cooks-29,354,,29,blood,354,25.374,Colorado Field Blood 2022 Box 1,,,CO-57638,354,NA,NA,NA
N,2022,2850-57853,Cooks,F,mom,Cooks-29,64,,29,blood,443,41.13,CO 2022 Field Box 2,,,CO-57853,64,NA,NA,NA
Y,2022,2881-34055,Cooks,,kid,Cooks-29,769,,8,blood,769,87.403,CO 2022 Field Box 6,,,CO-34055,769,8,2,Cook's_8_2
Y,2022,2881-34056,Cooks,,kid,Cooks-29,770,,8,blood,770,79.466,CO 2022 Field Box 6,,,CO-34056,770,8,2,Cook's_8_2
Y,2022,2881-34057,Cooks,,kid,Cooks-29,771,,8,blood,771,135.75,CO 2022 Field Box 6,,,CO-34057,771,8,2,Cook's_8_2
Y,2022,2881-34058,Cooks,,kid,Cooks-29,772,,8,blood,772,257.868,CO 2022 Field Box 6,,,CO-34058,772,8,2,Cook's_8_2
Y,2022,2881-34059,Cooks,,kid,Cooks-29,773,,8,blood,773,205.101,CO 2022 Field Box 6,,,CO-34059,773,8,2,Cook's_8_2
Y,2022,2811-83258,Cooks,,kid,Cooks-31,603,,31,blood,603,49.552,CO 2022 Field Box 4,,,CO-83258,603,31,1,Cook's_31_1
Y,2022,2811-83260,Cooks,,kid,Cooks-31,604,,31,blood,604,54.81,CO 2022 Field Box 4,,,CO-83260,604,31,1,Cook's_31_1
Y,2022,2811-83261,Cooks,,kid,Cooks-31,605,,31,blood,605,217.711,CO 2022 Field Box 4,,,CO-83261,605,31,1,Cook's_31_1
N,2022,2850-57573,Cooks,M,dad,Cooks-31,840,,14,blood,335,7.242,Colorado Field Blood 2022 Box 1,,,CO-57573,840,NA,NA,NA
N,2022,2850-57663,Cooks,F,mom,Cooks-31,882,,14,blood,399,19.045,Colorado Field Blood 2022 Box 1,,,CO-57663,882,NA,NA,NA
Y,2022,2881-33658,Cooks,,kid,Cooks-31,729,,14,blood,729,153.107,CO 2022 Field Box 5,,,CO-33658,729,14,2,Cook's_14_2
Y,2022,2881-33659,Cooks,,kid,Cooks-31,730,,14,blood,730,68.319,CO 2022 Field Box 5,,,CO-33659,730,14,2,Cook's_14_2
Y,2022,2881-33660,Cooks,,kid,Cooks-31,731,,14,blood,731,157.14,CO 2022 Field Box 6,,,CO-33660,731,14,2,Cook's_14_2
Y,2022,2881-33661,Cooks,,kid,Cooks-31,732,,14,blood,732,73.493,CO 2022 Field Box 6,,,CO-33661,732,14,2,Cook's_14_2
Y,2022,2850-57700,Cooks,F,mom,Cooks-33,680,,33,blood,680,64.467,CO 2022 Field Box 5,,,CO-57700,680,NA,NA,NA
Y,2022,2870-64915,Cooks,M,dad,Cooks-33,424,,33,blood,424,27.299,CO 2022 Field Box 2,,,CO-64915,424,NA,NA,NA
Y,2022,2881-33618,Cooks,,kid,Cooks-33,696,,33,blood,696,99.025,CO 2022 Field Box 5,,,CO-33618,696,33,1,Cook's_33_1
Y,2022,2881-33619,Cooks,,kid,Cooks-33,697,,33,blood,697,60.046,CO 2022 Field Box 5,,,CO-33619,697,33,1,Cook's_33_1
Y,2022,2881-33620,Cooks,,kid,Cooks-33,698,,33,blood,698,141.72,CO 2022 Field Box 5,,,CO-33620,698,33,1,Cook's_33_1
Y,2022,2881-33621,Cooks,,kid,Cooks-33,699,,33,blood,699,74.283,CO 2022 Field Box 5,,,CO-33621,699,33,1,Cook's_33_1
N,2022,2811-83207,Dome House,F,mom,DomeHouse-01,201,,1,blood,386,25.32,Colorado Field Blood 2022 Box 1,,,CO-83207,201,NA,NA,NA
N,2022,2811-83281,Dome House,,kid,DomeHouse-01,823,,1,blood,513,6.795,CO 2022 Field Box 3,,,CO-83281,823,1,1,Dome House_1_1
Y,2022,2811-83282,Dome House,,kid,DomeHouse-01,514,,1,blood,514,25.09,CO 2022 Field Box 3,,,CO-83282,514,1,1,Dome House_1_1
N,2022,2850-57643,Dome House,M,dad,DomeHouse-01,850,,1,blood,357,14.753,Colorado Field Blood 2022 Box 1,,,CO-57643,850,NA,NA,NA
Y,2022,2881-33648,Dome House,,kid,DomeHouse-01,613,,2,blood,613,147.841,CO 2022 Field Box 4,,,CO-33648,613,2,2,Dome House_2_2
Y,2022,2881-33650,Dome House,,kid,DomeHouse-01,614,,2,blood,614,183.566,CO 2022 Field Box 4,,,CO-33650,614,2,2,Dome House_2_2
Y,2022,2811-00632,Erica's,M,dad,Ericas-01,362,,#N/A,blood,362,64.765,Colorado Field Blood 2022 Box 1,,,CO-00632,362,NA,NA,NA
Y,2022,2850-57751,Jay's,M,dad,Jays-01,554,,#N/A,blood,554,67.865,CO 2022 Field Box 3,,,CO-57751,554,NA,NA,NA
