Checked?,,,,,x,,,,,,,,,,x,,,,,X,,,,,X,,,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,X,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,
Date:,16-Apr-22,17-Apr-22,18-Apr-22,19-Apr-22,20-Apr-22,21-Apr-22,22-Apr-22,23-Apr-22,24-Apr-22,25-Apr-22,26-Apr-22,27-Apr-22,28-Apr-22,29-Apr-22,30-Apr-22,01-May-22,02-May-22,03-May-22,04-May-22,05-May-22,06-May-22,07-May-22,08-May-22,09-May-22,10-May-22,11-May-22,12-May-22,13-May-22,14-May-22,15-May-22,16-May-22,17-May-22,18-May-22,19-May-22,20-May-22,21-May-22,22-May-22,23-May-22,24-May-22,25-May-22,26-May-22,27-May-22,28-May-22,29-May-22,30-May-22,31-May-22,01-Jun-22,02-Jun-22,03-Jun-22,04-Jun-22,05-Jun-22,06-Jun-22,07-Jun-22,08-Jun-22,09-Jun-22,10-Jun-22,11-Jun-22,12-Jun-22,13-Jun-22,14-Jun-22,15-Jun-22,16-Jun-22,17-Jun-22,18-Jun-22,19-Jun-22,20-Jun-22,21-Jun-22,22-Jun-22,23-Jun-22,24-Jun-22,25-Jun-22,26-Jun-22,27-Jun-22,28-Jun-22,29-Jun-22,30-Jun-22,01-Jul-22,02-Jul-22,03-Jul-22,04-Jul-22,05-Jul-22,06-Jul-22,07-Jul-22,08-Jul-22,09-Jul-22,10-Jul-22,11-Jul-22,12-Jul-22,13-Jul-22,14-Jul-22,15-Jul-22,16-Jul-22,17-Jul-22,18-Jul-22,19-Jul-22,20-Jul-22,21-Jul-22,22-Jul-22,23-Jul-22,24-Jul-22,25-Jul-22,26-Jul-22,27-Jul-22,28-Jul-22,29-Jul-22,30-Jul-22,31-Jul-22,01-Aug-22,02-Aug-22,03-Aug-22,04-Aug-22,05-Aug-22,06-Aug-22,07-Aug-22,08-Aug-22,09-Aug-22,10-Aug-22,11-Aug-22,12-Aug-22,13-Aug-22,14-Aug-22,15-Aug-22,16-Aug-22,17-Aug-22,18-Aug-22,19-Aug-22,20-Aug-22,21-Aug-22,22-Aug-22,23-Aug-22,24-Aug-22,25-Aug-22,26-Aug-22,27-Aug-22,28-Aug-22,29-Aug-22,30-Aug-22,31-Aug-22,01-Sep-22,02-Sep-22,03-Sep-22,04-Sep-22,05-Sep-22,06-Sep-22,07-Sep-22,08-Sep-22,09-Sep-22,10-Sep-22,11-Sep-22,12-Sep-22,13-Sep-22,14-Sep-22,15-Sep-22,16-Sep-22
Nest #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,NFNE,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,BROKEN,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,,,NFNE,,,,,,NFNE,,,,,,,,,,,,,,,,
2,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
3,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,NFNE,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,FNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,CI,2E,,,4E,,,,4E,,,4E,,,,4E,CH,,4N,,,,,,,4N,,,12,,,>=3N,,,,,,,x,,,,,,,,,
4,,,,,SAPH,,,,,,,,,,SAPH,,,,,SAPH,,,,,SAPH,,,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,NOT CHECKED,,,,NOT CHECKED,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,oldFNE,,,oldFNE,,,,oldFNE,,,SAPH,,,,SAPH,,,SAPH,,,,SAPH,,,SAPH,,,,,,,SAPH,,,,,,SAPH,,,,,,,,,,,,,,,,
5,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,NFNE,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,BROKEN,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,,,NFNE,,,,,,NFNE,,,,,,,,,,,,,,,,
6,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
7,,,,,fell,,,,,,,,,,not found,,,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
8,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
9,,,,,not found,,,,,,,,,,not found,,,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
10,,,,,oldFNE,,,,,,,,,,oldFNE,,,,,oldFNE,,,,,FNE,CI,,,,,5E,,,5E,,,,5E,,,5E,,EHD,CH,4N 1E,,,5N,,,,5N,,,5N,12,,,NOT CHECKED,,,NOT CHECKED,,,,X,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,,,,oldFNE,,,,,,oldFNE,,,,,,,,,,,,,,,,
11,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,NFNE,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,,,NFNE,,,,,,NFNE,,,,,,,,,,,,,,,,
12,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
13,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
14,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
15,,,,,not found,,,,,,,,,,not found,,,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,,,,NOT FOUND,,,,,,NOT FOUND,,,,,,,,,,,,,,,,
16,,,,,NFNE,,,,,,,,,,NFNE,,,,,NFNE,,,,,NFNE,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,,,NFNE,,,,,,NFNE,,,,,,,,,,,,,,,,
17,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
18,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
19,,,,,not found,,,,,,,,,,not found,,,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,,,,NOT FOUND,,,,,,NOT FOUND,,,,,,,,,,,,,,,,
20,,,,,NFNE,,,,,,,,,,oldFNE?,,,,,NFNE,,,,,oldFNE,,,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,CI,2E,,,5E,,,,6E,,,5E,,,,5E,,,EHD,CH,,,5N,,,5N,,,,5N,,12,>=1N,,,,>=4N,,,X,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,,,,oldFNE,,,,,,oldFNE,,,,,,,,,,,,,,,,
21,,,,,fell,,,,,,,,,,fell,,,,,FELL,,,,,FELL,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI,,,4E,,,4E,,,,5E,,,5E,,,,EHD,EHD,EHD,EHD,EHD,EHD,EHD,X,,,4E,,,,4E,,,4E,,,CI,6E,,,6E,,,,5E,,,X,,,,NFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,oldFNE,,,oldFNE,,,,,,,oldFNE,,,,,,oldFNE,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUILDING,,,NFNE,,,CI,2E,,,4E,,,,4E,,,4E,,,,4E,EHD,EHD,EHD,EHD,,,4E,,,X,,,,4E,,,4E,,,,4E,,,4E,,,,4E,,,FELL,,,,,,,FELL,,,,,,FELL,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
