"band","site","sex","mean_rwl","mean_rts","mean_lts","mate_band_1","throat_avg_bright","breast_avg_bright","belly_avg_bright","vent_avg_bright","est.age","certainty","tot.chick","ep.yes","ep.chick","socF_t.avg.bright","socF_r.avg.bright","socF_b.avg.bright","socF_v.avg.bright","socF_rwl","socF_rts","socF_lts","socF_ci","prop.fledge","tot_eggs","nest_age","socF_est.age","socF_certainty","season.prop.wp","socF_tail","tail","age.class","age.class.bin","socF_age.bin","ci_julian","prop.sired.epo","site.size","num.tot.mates"
"2350-21085","Make Believe","M",119,84.5,NA,"2640-97596",9.637572283,28.84809571,35.25318711,28.30530741,4,"good",16,1,9,14.9893104,28.48857095,30.15,26.80653706,114.1666667,75,74,"2022-05-16",1,10,"old",3,"good",0.7,75,84.5,"ASY",1,1,136,0.5625,"medium",5
"2640-97548","Blue Cloud","M",120,79.83333333,77.16666667,"2850-57612",8.556945829,16.23411599,13.59760386,18.35999003,4,"good",9,0,0,13.22723496,31.54638584,22.9551778,29.48091226,123.3333333,83.16666667,82.66666667,"2022-05-11",1,10,"old",2,"good",0.9,83.16666667,79.83333333,"ASY",1,1,131,0,"medium",1
"2640-97588","Colorado Horse Rescue","M",119,87,85,"2850-57730",11.85018943,14.45612662,21.21705716,27.50362745,3,"good",9,1,2,15.70236623,12.82672316,23.21604354,25.31275341,117,78.5,79,"2022-05-14",0.9,10,"old",2,"good",0.777777777777778,78.5,87,"ASY",1,1,134,0.222222222222222,"large",2
"2640-97589","Colorado Horse Rescue","M",119,99.66666667,98,"2811-38984",11.8153556,16.91354271,18.6526321,20.65218677,3,"good",13,1,6,14.51881356,20.07807245,23.66085577,25.18879362,116,81.5,81.5,"2022-05-16",0.7,10,"old",2,"exact",1,81.5,99.66666667,"ASY",1,1,136,0.461538461538462,"large",4
"2811-83208","Colorado Horse Rescue","M",118,87,89.5,"2850-57585",18.73416916,21.00459455,26.39878531,23.23742606,1,"exact",1,0,0,15.49893652,38.8499435,25.59709704,38.00804752,121,76,76,"2022-05-31",0.625,8,"old",1,"low",0.2,76,87,"SY",0,0,151,0,"large",1
"2850-57518","Make Believe","M",122.8333333,101.1666667,NA,"2850-57576",14.90719508,19.59704719,20.80960452,18.70017448,3,"good",7,1,2,14.04054005,31.59471751,29.94176304,27.9942888,118,79.16666667,79.33333333,"2022-05-28",0.666666666666667,9,"old",1,"good",0.833333333333333,79.16666667,101.1666667,"ASY",1,0,148,0.285714285714286,"medium",3
"2850-57552","Struthers","M",124.1666667,95,95.5,"2850-57551",16.47890661,28.13388501,26.12840312,25.80811565,2,"good",8,0,0,21.72451147,25.07222499,24.04588401,29.70191592,120.5,77.5,78,"2022-05-11",0.909090909090909,11,"old",2,"good",0.8,77.5,95,"ASY",1,1,131,0,"small",1
"2850-57557","Cooks","M",117,84,83.66666667,"2850-57609",14.35665503,21.70364905,15.87132436,19.32620306,2,"good",0,0,0,22.70465769,30.26842971,24.77977567,29.68129279,116.1666667,74,74,"2022-05-15",1,5,"old",2,"good",0,74,84,"ASY",1,1,135,0,"medium",0
"2850-57565","Blue Cloud","M",121.6666667,94,92.5,"2850-57870",9.62943669,17.44787139,18.22828681,20.49204719,2,"good",7,1,1,18.61208043,NA,NA,NA,120.3333333,73.66666667,73.16666667,"2022-05-21",0.625,8,"old",1,"good",1,73.66666667,94,"ASY",1,0,141,0.142857142857143,"medium",2
"2850-57567","Colorado Horse Rescue","M",121.5,102.1666667,102.5,"2850-57736",10.56012296,26.35612994,22.28285809,16.73888169,2,"good",5,0,0,18.82615819,20.40757062,19.58981555,26.68112828,117.1666667,73,74.83333333,"2022-05-29",0.8,5,"old",2,"good",1,73,102.1666667,"ASY",1,1,149,0,"large",1
"2850-57570","Colorado Horse Rescue","M",121.5,90,NA,"2850-57648",16.84077767,23.06811898,25.67366733,19.07592556,2,"good",4,1,2,11.60741442,18.61403456,20.95208873,24.50020273,119.8333333,77,76,"2022-06-10",0.571428571428571,7,"old",1,"low",0.5,77,90,"ASY",1,0,161,0.5,"large",2
"2850-57573","Cooks","M",117.1666667,87.5,87,"2850-57663",12.92033898,24.59975573,31.1244234,21.93607178,1,"good",7,0,0,24.7404769,42.12408774,36.61033234,37.0324676,115.3333333,67,78.5,"2022-05-29",1,8,"old",1,"good",1,67,87.5,"SY",0,0,149,0,"medium",1
"2850-57574","Cooks","M",121,88,90,"2850-57575",11.90285975,21.77220837,18.26303423,20.35447823,1,"good",2,0,0,17.39330841,38.62646062,29.39766035,30.38286142,118.1666667,73.33333333,76.5,"2022-06-02",1,4,"old",1,"good",0.5,73.33333333,88,"SY",0,0,153,0,"medium",1
"2850-57577","Colorado Horse Rescue","M",119,90.83333333,91.16666667,"2870-65003",20.92472416,28.83623131,28.80829345,29.54534563,1,"low",6,1,1,16.80360253,22.7877451,28.35118976,25.32722832,114,75,75,"2022-06-10",0.555555555555556,9,"old",1,"low",1,75,90.83333333,"SY",0,0,161,0.166666666666667,"large",2
"2850-57578","Colorado Horse Rescue","M",119,91.5,91.5,"2850-57883",10.81633932,15.67680791,20.72179628,11.67128448,1,"low",6,0,0,20.88361083,25.27007145,28.1415786,31.36723164,118,77.83333333,NA,"2022-06-06",1,9,"old",1,"low",0.75,77.83333333,91.5,"SY",0,0,157,0,"large",1
"2850-57579","Colorado Horse Rescue","M",118.5,93.5,92,"2850-57571",11.31949153,24.77905949,18.07848455,24.4043104,NA,NA,0,0,0,16.76718677,24.15598039,22.57087571,14.77255068,119.1666667,79.16666667,85.83333333,"2022-05-24",0.5,8,"old",2,"good",NA,79.16666667,93.5,NA,NA,1,144,0,"large",0
"2850-57580","Colorado Horse Rescue","M",117.5,87.83333333,NA,"2850-57654",9.142844799,27.48113161,22.9424111,30.74621137,1,"low",2,0,0,17.81852775,29.97126288,23.62500332,21.69604187,116.6666667,79.83333333,81,"2022-06-01",1,4,"old",1,"low",0.5,79.83333333,87.83333333,"SY",0,0,152,0,"large",1
"2850-57581","Colorado Horse Rescue","M",116,82.5,83,"2850-57652",12.5018158,18.94245264,27.0381655,19.62838485,1,"low",9,1,5,16.27360253,25.43874875,25.62919242,26.1985211,110.5,74,72,"2022-05-22",1,7,"old",1,"low",0.666666666666667,74,82.5,"SY",0,0,142,0.555555555555556,"large",3
"2850-57582","Colorado Horse Rescue","M",118,88.5,86,"2850-57746",NA,28.49882187,24.79582419,10.86734629,1,"low",7,0,0,16.74286308,19.18283317,22.0371552,18.33031073,115.8333333,78,NA,"2022-05-30",0.777777777777778,9,"old",1,"low",0.428571428571429,78,88.5,"SY",0,0,150,0,"large",1
"2850-57589","Colorado Horse Rescue","M",119.8333333,97,96.5,"2850-57583",12.65077601,16.92662014,19.27879528,19.52571951,1,"low",9,1,1,15.31283815,21.03828348,20.55429379,27.90630608,114.3333333,79.16666667,79,"2022-05-28",0.888888888888889,9,"old",1,"low",1,79.16666667,97,"SY",0,0,148,0.111111111111111,"large",2
"2850-57614","Blue Cloud","M",116.1666667,92.5,92.16666667,"2850-57871",13.30648222,31.01010136,23.45964274,26.01526421,2,"good",5,0,0,22.26922067,29.5426886,27.10740778,28.97539216,118.1666667,81,79.16666667,"2022-05-15",0.857142857142857,7,"old",1,"good",0.833333333333333,81,92.5,"ASY",1,0,135,0,"medium",1
"2850-57620","Colorado Horse Rescue","M",121,87,84,"2850-57649",8.903889997,21.60838485,22.72290794,21.84048023,2,"good",8,0,0,14.39168328,23.55332004,22.86421569,16.04356098,116,73.5,NA,"2022-05-31",1,8,"old",1,"low",1,73.5,87,"ASY",1,0,151,0,"large",1
"2850-57633","Cooks","M",121.1666667,89,88.66666667,"2850-57637",11.19749917,17.60286474,16.38984214,19.65409771,2,"good",3,1,2,21.08817714,22.7540329,18.7512014,21.16858757,114.6666667,73,76,"2022-05-23",0.0833333333333333,12,"old",1,"good",1,73,89,"ASY",1,0,143,0.666666666666667,"medium",2
"2850-57638","Cooks","M",122,99,105,"2850-57853",10.19052011,18.05735626,18.27628946,23.08476072,1,"good",5,0,0,23.24357926,29.95942921,19.03226155,29.00649718,114,78.5,80.33333333,"2022-05-13",1,10,"old",2,"good",0.5,78.5,99,"SY",0,1,133,0,"medium",1
"2850-57639","McCauley","M",120.8333333,87.83333333,91,"2850-57640",16.58988202,29.70281323,26.95944998,19.02117979,1,"low",2,0,0,14.91139581,31.63278913,26.67445165,29.02435361,117,71,70,"2022-05-23",0.857142857142857,7,"old",1,"low",0.333333333333333,71,87.83333333,"SY",0,0,143,0,"small",1
"2850-57643","Dome House","M",121.8333333,89.33333333,89.16666667,"2811-83207",10.66305085,33.82466434,21.3687903,25.78640412,1,"low",3,1,1,20.11934696,23.95448986,15.60926886,17.37049684,118,75.83333333,75.16666667,"2022-06-02",0.625,8,"old",1,"exact",0.5,75.83333333,89.33333333,"SY",0,0,153,0.333333333333333,"small",2
"2850-57647","Colorado Horse Rescue","M",122.1666667,85.83333333,87.33333333,"2850-57879",12.89783981,28.1838767,25.45478232,20.55910934,1,"low",2,0,0,14.99234629,31.94793453,31.93524427,34.53678132,124.8333333,NA,86.66666667,"2022-06-05",0.8,10,"old",1,"low",0.25,86.66666667,85.83333333,"SY",0,0,156,0,"large",1
"2850-57653","Colorado Horse Rescue","M",119.3333333,78,76.33333333,"2850-57588",8.467490861,27.15053506,21.8547225,15.40861914,1,"low",1,1,1,12.52124294,26.61550183,22.60458126,19.09416916,119.8333333,78.33333333,76.83333333,"2022-05-31",0.333333333333333,9,"old",1,"low",0,78.33333333,78,"SY",0,0,151,1,"large",1
"2850-57659","Blue Cloud","M",120.3333333,NA,89.33333333,"2850-57869",11.84195912,21.67765038,25.05338485,24.84697906,1,"good",2,0,0,15.75369724,27.30900964,29.34528913,21.68236956,117,78,78.33333333,"2022-05-22",1,6,"old",1,"good",0.333333333333333,78,89.33333333,"SY",0,0,142,0,"medium",1
"2850-57662","Karens","M",120,NA,NA,"2850-57661",15.2231572,23.22813393,18.99490528,25.66953473,1,"low",3,0,0,18.54673978,32.47876039,25.76237787,22.52499335,120,78.33333333,79.5,"2022-05-30",0.333333333333333,9,"old?",1,"low",1,78.33333333,NA,"SY",0,0,150,0,"small",1
"2850-57666","Cathys","M",121.5,84,85.16666667,"2850-57667",14.63163011,NA,34.40713692,25.27785477,1,"good",1,0,0,19.98264374,18.68911931,21.39545198,16.86031572,114.5,77,75.83333333,"2022-06-07",0.0769230769230769,13,"old",1,"good",1,77,84,"SY",0,0,158,0,"small",1
"2850-57668","Make Believe","M",115.3333333,79.33333333,81.16666667,"2850-57635",11.681557,26.74239614,23.99616318,20.15335992,1,"good",3,0,0,13.44884015,28.03611499,23.18695248,24.56099701,120.6666667,75.16666667,75.5,"2022-05-31",0.8,10,"old",2,"good",0.375,75.16666667,79.33333333,"SY",0,1,151,0,"medium",1
"2850-57671","Colorado Horse Rescue","M",117.8333333,75.83333333,83.16666667,"2850-57670",16.28350449,28.84180791,23.68146062,25.7482569,1,"low",4,0,0,19.57938518,27.12702227,24.27453971,21.16678132,118.8333333,NA,80,"2022-06-04",1,5,"old",1,"low",0.8,80,75.83333333,"SY",0,0,155,0,"large",1
"2850-57673","Cooks","M",121.1666667,86,86.33333333,"2850-57672",10.84304919,23.8083001,25.12981888,29.45398804,1,"good",3,1,1,13.89017614,35.84661682,35.58468594,44.24337488,119.8333333,77.83333333,78,"2022-06-01",0.8,5,"old",1,"good",0.5,77.83333333,86,"SY",0,0,152,0.333333333333333,"medium",2
"2850-57674","Struthers","M",120,87.5,87.5,"2850-57645",15.36206547,21.17854271,19.32716683,21.16911266,1,"good",0,0,0,13.92495181,29.63371718,20.0065653,22.27975573,116.1666667,76.5,75,"2022-06-10",0.444444444444444,9,"new?",1,"good",0,76.5,87.5,"SY",0,0,161,0,"small",0
"2850-57676","Cooks","M",115.1666667,74.16666667,71.5,"2850-57664",12.13272848,11.56205716,29.82227983,24.87789963,1,"good",2,0,0,14.39181954,20.95414423,25.09655866,29.02535726,114.5,74,74,"2022-06-18",1,4,"old",1,"good",0.666666666666667,74,74.16666667,"SY",0,0,169,0,"medium",1
"2850-57731","Colorado Horse Rescue","M",119,91,92.33333333,"2640-97358",10.9634214,23.24545364,18.5751562,24.60593387,2,"good",7,1,1,13.77641409,19.740555,21.14287305,22.67428049,115,73,76.5,"2022-05-13",0.583333333333333,12,"old",4,"good",0.857142857142857,73,91,"ASY",1,1,133,0.142857142857143,"large",2
"2850-57742","Colorado Horse Rescue","M",118,93,92,"2850-57846",13.00562645,26.1463443,26.30566135,22.8044882,1,"low",5,0,0,13.03171486,21.79884679,24.82876869,29.76354271,118.1666667,79.83333333,80,"2022-05-21",0.888888888888889,9,"old",3,"good",0.833333333333333,79.83333333,93,"SY",0,1,141,0,"large",1
"2850-57744","Colorado Horse Rescue","M",116,84.5,NA,"2850-57656",24.63866733,20.45419575,20.25567464,16.45550847,1,"low",2,0,0,19.51600199,27.59028249,21.03005151,27.85981057,115.8333333,76,75.83333333,"2022-06-08",1,9,"old",1,"low",NA,76,84.5,"SY",0,0,159,0,"large",1
"2850-57806","Colorado Horse Rescue","M",120.1666667,83.83333333,86,"2850-57735",11.25502825,14.26422898,18.0460319,17.57589232,3,"good",4,1,1,15.02817049,30.99803589,33.99968096,30.60939349,116,78.5,79.66666667,"2022-05-18",0.555555555555556,9,"old",2,"good",0.6,78.5,83.83333333,"ASY",1,1,138,0.25,"large",2
"2850-57808","Colorado Horse Rescue","M",120.5,NA,100,"2640-97331",11.46748421,15.37756564,20.6164008,18.7548222,3,"good",16,1,11,9.83579096,18.81945995,19.5594101,18.82038717,119,79.83333333,79,"2022-05-18",0.888888888888889,9,"old",5,"good",0.625,79.83333333,100,"ASY",1,1,138,0.6875,"large",6
"2850-57868","Urban Farm Girlz","M",120,90.33333333,91.16666667,"2850-57629",11.44505317,25.26557328,22.7552343,21.53962944,1,"good",4,0,0,15.71125789,25.05653539,19.96372715,17.6905334,117,NA,79,"2022-06-11",0.777777777777778,9,"new",2,"good",0.571428571428571,79,90.33333333,"SY",0,1,162,0,"small",1
"2850-57873","Make Believe","M",121.6666667,91.5,93.83333333,"2850-57872",14.19395646,25.92409605,17.52426554,23.12273347,1,"good",4,0,0,19.89401296,27.50672981,25.50669159,31.53123629,120.3333333,80,79.5,"2022-05-30",1,8,"old",1,"good",0.5,80,91.5,"SY",0,0,150,0,"medium",1
"2850-57875","Make Believe","M",120,85.16666667,78.16666667,"2850-57874",10.47729977,18.82554005,18.80828847,20.39057162,1,"good",1,0,0,15.6378232,25.01960784,27.4267215,22.21683117,117.1666667,75,74,"2022-05-31",0.444444444444444,9,"old",1,"good",0.5,75,85.16666667,"SY",0,0,151,0,"medium",1
"2850-57877","Make Believe","M",120.3333333,80.83333333,NA,"2850-57878",16.51858757,21.75545862,23.0853988,26.05510967,1,"good",3,0,0,13.84048106,25.90715022,15.86279827,23.12566301,118.1666667,69,69.83333333,"2022-06-14",0.6,5,"old",1,"good",1,69,80.83333333,"SY",0,0,165,0,"medium",1
"2850-57881","Colorado Horse Rescue","M",119.6666667,84.83333333,85.83333333,"2850-57650",11.73463277,21.93833167,26.56095214,31.59365071,1,"low",4,0,0,17.68973745,37.8482436,25.65847624,24.74415088,116.3333333,74.33333333,74.16666667,"2022-05-23",0.7,10,"old",1,"low",0.571428571428571,74.33333333,84.83333333,"SY",0,0,143,0,"large",1
"2850-57901","Blue Cloud","M?",120.1666667,83,88.83333333,"2850-57572",10.28857926,32.82417747,29.76531572,29.26528913,2,"good",7,1,2,14.36983716,26.78334829,24.28170156,21.60617979,116,72.5,73,"2022-05-22",0.5,10,"old",1,"good",1,72.5,83,"ASY",1,0,142,0.285714285714286,"medium",3
"2870-64915","Cooks","M",119.8333333,92.5,91.66666667,"2850-57700",17.296557,40.0972898,37.77161349,30.36117979,1,"good",4,0,0,23.54235626,33.71179295,33.7028448,32.97698571,115.3333333,73.5,72.66666667,"2022-07-06",1,4,"old",1,"good",1,73.5,92.5,"SY",0,0,187,0,"medium",1
